,author,quote,related_concept,url,image,term,genre,sg_stance,sg_pro,sg_pro_method,sg_con,sg_con_method,type,annotation,
11777,Federica Mogherini,Proud to present & sign new #EUDevConsensus: investment in human #development is investment in our security #EDD17,evolution,error,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Federica_Mogherini_Official.jpg/78px-Federica_Mogherini_Official.jpg,development,twitter,P,0.999740707,prediction,0,none,direct,none,
54228,Sasha Grey,@tirayk melrose but it's predominantly for gay men- but gay guys have the best gear-I'm waiting for someone to prove me wrong!,LGBT,error,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Sasha_Grey_at_AVN_2010_Expo.jpg/75px-Sasha_Grey_at_AVN_2010_Expo.jpg,gay,twitter,P,1,ibm,0,none,direct,p,
41206,Chuck Todd,My appetite is a bit wanting this morning as I'm in the midst of eating crow over my lack of faith in Big10 hoops.,faith,error,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Chuck_Todd_by_Gage_Skidmore%282015%29.jpg/72px-Chuck_Todd_by_Gage_Skidmore%282015%29.jpg,faith,twitter,C,0,none,0.999885767,prediction,direct,none,
20258,Anne Rice,"And we have to use social media to unite, to obtain medical care for all Americans, to discuss our differences in peace. ",social media,error,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Anne_Rice.jpg/66px-Anne_Rice.jpg,social media,twitter,P,0.999750118,prediction,0,none,direct,p,
29726,Donald Trump,"Cuomo’s been calling daily, even hourly, begging for everything, most of which should have been the state’s responsibility, such as new hospitals, beds, ventilators, etc. I got it all done for him, and everyone else, and now he seems to want Independence! That won’t happen!",independence,error,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Donald_Trump_official_portrait.jpg/79px-Donald_Trump_official_portrait.jpg,independency,twitter,P,0.999728542,prediction,0,none,direct,none,
58459,Walter B. Jones,My friend Congressman Ron Paul gives some thoughtful commentary on the ruinous actions of the Federal Reserve: http://tinyurl.com/23bvh89,ron paul,error,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Walter_Jones_Portrait_115th_Congress.jpg/80px-Walter_Jones_Portrait_115th_Congress.jpg,ron paul,twitter,P,0.999764017,prediction,0,none,direct,none,
20413,Chuck Grassley,Clarinda TM 50ppl issues: guns QIP/tax immigration tariffs/soybean market surprise billing Grassley-Wyden Rx drug pricing bill ethanol waivers pensions robocalls natl debt social security Medicare etc #99countymeetings,immigration,error,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Chuck_Grassley_official_photo_2017.jpg/80px-Chuck_Grassley_official_photo_2017.jpg,immigration,twitter,C,0,none,0.999904146,prediction,direct,none,
4301,Sadiq Khan,Really good to speak with the Chief Rabbi about how we work together to ensure Jewish Londoners can continue to practice their faith and #StayAtHome. The strong leadership we are seeing from faith leaders is helping to save lives across our city and country.,judaism,error,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Sadiq_Khan_November_2016.jpg/73px-Sadiq_Khan_November_2016.jpg,rabbis,twitter,P,0.999743181,prediction,0,none,direct,p,
2325,Silvio Berlusconi,"Significherebbe lasciare più soldi in tasca agli italiani per non bloccare i consumi e per dare ossigeno alle aziende. Il secondo passo da fare, ancora più importante, è una riforma fiscale, con una flat tax al livello più basso possibile ",tax,error,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Silvio_Berlusconi_%282010%29_cropped.jpg/70px-Silvio_Berlusconi_%282010%29_cropped.jpg,tax,twitter,C,0,none,0.999871795,prediction,direct,none,
40034,Howard Dean,"Say more. I don’t get how this disenfranchises POC. Each state delegation is REQUIRED to have proportional numbers of women, POC, LGBT, etc. I think this DOES disenfranchise the old guard of the DNC a little, but that is what happens when a new generation rises.",lgbt,error,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/HowardDeanDNC-cropped.jpg/75px-HowardDeanDNC-cropped.jpg,lgbt,twitter,P,0.999742225,prediction,0,none,direct,none,
29976,Sadiq Khan,"THIS SUNDAY: As a proud feminist, I’ll be back to join Londoners from across our city on the #March4Women. Get involved - details here: @careintuk #BehindEveryGreatCity",Feminism,error,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Sadiq_Khan_November_2016.jpg/73px-Sadiq_Khan_November_2016.jpg,feminists,twitter,P,1,ibm,0,none,direct,none,
35802,Cory Booker,Its a state issue now but I'd welcome a dispensary in Nwk RT @Cannabis_Sense: What have you done to help those who need medical cannabis?,marijuana,error,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Cory_Booker%2C_official_portrait%2C_114th_Congress.jpg/80px-Cory_Booker%2C_official_portrait%2C_114th_Congress.jpg,cannabis,twitter,P,0.99975728,prediction,0,none,direct,none,
54800,Michael Bennet,"Joined by @RepDianaDeGette, @RepPerlmutter, @RepJasonCrow &amp; @RepJoeNeguse, sent a letter to @SecPompeo calling on Administration to reverse decision to drastically cut the number of refugees allowed to resettle in the U.S. in the coming year. Our letter ",immigration,error,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Michael_Bennet_Official_Photo.jpg/79px-Michael_Bennet_Official_Photo.jpg,refugees,twitter,C,0,none,0.999897759,prediction,direct,none,
40619,Lisa Murkowski,"The Coronavirus Aid, Relief, and Economic Security (CARES) Act provides critical support for hospitals & healthcare providers. It addresses medical supplies shortages, aims to expand #COVID19 testing, and prioritizes the development and testing of new vaccines and treatments. ",evolution,error,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Lisa_Murkowski_official_photo.jpg/86px-Lisa_Murkowski_official_photo.jpg,development,twitter,P,0.999742052,prediction,0,none,direct,none,
7089,Linda Sarsour,"We all know hate violence has escalated since Trump was elected. Go to http://HowToFightAntisemitism.com, a new resource from @jewishaction and #JewsAgainstWhiteNationalism, to see just how big of a role the @GOP has played in the rise of antisemitism. ",antisemitism,error,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Linda_Sarsour_on_19_May_2016.jpeg/78px-Linda_Sarsour_on_19_May_2016.jpeg,anti-semitism,twitter,C,0,none,0.999838412,prediction,direct,none,
