,author,quote,related_concept,url,image,term,genre,sg_stance,sg_pro,sg_pro_method,sg_con,sg_con_method,type,annotation
17667,Audre Lorde,"I remember how being young and black and gay and lonely felt. A lot of it was fine, feeling I had the truth and the light and the key, but a lot of it was purely hell.",lgbt,/wiki/Audre_Lorde,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Audre_Lorde.jpg/67px-Audre_Lorde.jpg,gay,quote500k,p,1,ibm,0,none,direct,p
17199,Thomas More,"Those among them that have not received our religion do not fright any from it, and use none ill that goes over to it, so that all the while I was there one man was only punished on this occasion.",religion,/wiki/Thomas_More,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Hans_Holbein%2C_the_Younger_-_Sir_Thomas_More_-_Google_Art_Project.jpg/80px-Hans_Holbein%2C_the_Younger_-_Sir_Thomas_More_-_Google_Art_Project.jpg,religion,quote500k,c,0.271169548,"{'source': 'prediction', 'related_topic': 'fascism', 'stance': 'p', 'correlation': 'consistent'}",0.275734554,"{'source': 'deduction', 'related_topic': 'marxism', 'stance': 'p', 'correlation': 'contrast'}",undirect,none
19279,Rick Wagoner,"What I've seen around the world is if the regulatory desires are combined with things that affect consumer behavior - such as in Europe, they tax gasoline very heavily - you do get people to move to very fuel efficient cars; trade off bigger vs. smaller cars.",tax,/entity/Q2151648,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Richard_Wagoner.jpg/74px-Richard_Wagoner.jpg,tax,quote500k,c,0,none,0.319352236,"{'source': 'prediction', 'related_topic': 'google', 'stance': 'p', 'correlation': 'contrast'}",undirect,p
17718,Richard Rohr,"Most Christian 'believers' tend to echo the cultural prejudices and worldviews of the dominant group in their country, with only a minority revealing any real transformation of attitudes or consciousness. It has been true of slavery and racism, classism and consumerism and issues of immigration and health care for the poor.",slavery,/wiki/Richard_Rohr,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/RichardRohrOFM.jpg/82px-RichardRohrOFM.jpg,slavery,quote500k,c,0,none,0.478915233,"{'source': 'prediction', 'related_topic': 'religion', 'stance': 'c', 'correlation': 'consistent'}",undirect,c
17329,Judy Chicago,"I am trying to make art that relates to the deepest and most mythic concerns of human kind and I believe that, at this moment of history, feminism is humanism.",feminism,/wiki/Judy_Chicago,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Judy_Chicago.jpg/56px-Judy_Chicago.jpg,feminism,quote500k,p,1,ibm,0,none,direct,p
19362,Mike Huckabee,I support workplace clean air. But a federal ban on smoking would mean that you couldn't smoke in your own home. I don't care what people do in their home.,prohibition,/wiki/Mike_Huckabee,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Mike_Huckabee_by_Gage_Skidmore_6.jpg/76px-Mike_Huckabee_by_Gage_Skidmore_6.jpg,ban,quote500k,p,0.436342981,"{'source': 'prediction', 'related_topic': 'islam', 'stance': 'p', 'correlation': 'consistent'}",0.209844683,"{'source': 'prediction', 'related_topic': 'religion', 'stance': 'c', 'correlation': 'consistent'}",undirect,none
9403,Naomi Klein,"By posing climate change as a battle between capitalism and the planet, I am not saying anything that we don't already know. the battle is already under way, but right now capitalism is winning hands down. it wins every time the need for economic growth is used as the excuse for putting off climate action yet again, of for breaking emission reduction commitments already made. it wins when Greeks are told that their only path out of economic crises is to open up their beautiful seas to high-risk oil and gas drilling. it wins when Canadians are told our only hope of not ending unlike Greece is to allow our boreal forests to be flayed so we can access the semisolid bitumen from the Alberta tar sands . it wins when a park in Istanbul is slotted for demolition to make way for yet another shopping mall. it wins when parents in Beijing are told that sending their wheezing kids to school in pollution masks decorated to look like cute cartoon characters is an acceptable price for economic progress. it wins every time we accept that we have only bad choices available to us: austerity or extraction, poisoning or poverty.",capitalism,/wiki/Naomi_Klein,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Naomi_Klein_at_Berkeley%2C_California%2C_in_2014_%28cropped%29.jpg/71px-Naomi_Klein_at_Berkeley%2C_California%2C_in_2014_%28cropped%29.jpg,capitalism,quote500k,c,0,none,0.99991464,prediction,direct,c
4154,Abraham Lincoln,"It will not do to investigate the subject of religion too closely, as it is apt to lead to infidelity.",religion,/wiki/Abraham_Lincoln,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Abraham_Lincoln_O-77_matte_collodion_print.jpg/80px-Abraham_Lincoln_O-77_matte_collodion_print.jpg,religion,quote500k,p,0.999762345,prediction,0,none,direct,p
18146,Heber J. Grant,"What the world needs today more than anything else is an implicit faith in God, our Father, and in Jesus Christ, His Son, as the Redeemer of the world.",faith,/wiki/Heber_J._Grant,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Heber_J_Grant.jpg/66px-Heber_J_Grant.jpg,faith,quote500k,p,0.480093056,"{'source': 'ibm', 'related_topic': 'prohibition', 'stance': 'p', 'correlation': 'consistent'}",0,none,undirect,p
2567,Victor Hugo,"A library implies an act of faith which generations, still in darkness hid, sign in their night in witness of the ",faith,/wiki/Victor_Hugo,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Victor_Hugo_by_%C3%89tienne_Carjat_1876_-_full.jpg/81px-Victor_Hugo_by_%C3%89tienne_Carjat_1876_-_full.jpg,faith,quote500k,c,0,none,0.999911041,prediction,direct,none
